"","SAMPID","SMTS"
"3641","GTEX-1445S-0011-R4a-SM-5PNWN","Brain"
"3642","GTEX-1445S-0011-R5a-SM-5PNUS","Brain"
"3643","GTEX-1445S-0011-R6b-SM-5PNUF","Brain"
"3644","GTEX-1445S-0011-R7b-SM-5PNUG","Brain"
"3645","GTEX-1445S-0011-R8a-SM-5PNWX","Brain"
"3646","GTEX-1445S-0626-SM-5LU3C","Muscle"
"3647","GTEX-1445S-1126-SM-5QGOW","Blood Vessel"
"3648","GTEX-1445S-1226-SM-5O9BF","Heart"
"3649","GTEX-1445S-2426-SM-79ON2","Adipose Tissue"
"3650","GTEX-1445S-2926-SM-5O993","Salivary Gland"
"3651","GTEX-1445S-3026-SM-5O9BR","Brain"
"3652","GTEX-1445S-3226-SM-5TDE1","Pituitary"
"3653","GTEX-144FL-0126-SM-5TDC8","Skin"
"3654","GTEX-144FL-0226-SM-5Q5D4","Adipose Tissue"
"3655","GTEX-144FL-0326-SM-5O99O","Muscle"
"3656","GTEX-144FL-0426-SM-5O9A1","Nerve"
"3657","GTEX-144FL-0626-SM-5LU43","Skin"
"3658","GTEX-144FL-1526-SM-5Q5CA","Pancreas"
"3659","GTEX-144FL-2626-SM-5TDCW","Esophagus"
"3660","GTEX-144FL-2726-SM-5O98Z","Esophagus"
"3661","GTEX-144FL-3026-SM-5O99C","Brain"
"3662","GTEX-144GL-0011-R11b-SM-5P9F6","Brain"
"3663","GTEX-144GL-0011-R1a-SM-5PNZ5","Brain"
"3664","GTEX-144GL-0011-R3a-SM-5P9HP","Brain"
"3665","GTEX-144GL-0011-R4a-SM-5PNUI","Brain"
"3666","GTEX-144GL-0011-R5b-SM-5PNUJ","Brain"
"3667","GTEX-144GL-0011-R6a-SM-5P9HW","Brain"
"3668","GTEX-144GL-0011-R7b-SM-5P9HX","Brain"
"3669","GTEX-144GL-0011-R8a-SM-5Q5B1","Brain"
"3670","GTEX-144GL-0126-SM-5TDE2","Skin"
"3671","GTEX-144GL-0226-SM-5QGOX","Adipose Tissue"
"3672","GTEX-144GL-0326-SM-5QGOY","Muscle"
"3673","GTEX-144GL-0426-SM-5QGOZ","Nerve"
"3674","GTEX-144GL-0526-SM-5LU41","Blood Vessel"
"3675","GTEX-144GL-0626-SM-5LU4D","Skin"
"3676","GTEX-144GL-0726-SM-5LU4P","Testis"
"3677","GTEX-144GL-1026-SM-5O99R","Heart"
"3678","GTEX-144GL-1226-SM-5O9A4","Thyroid"
"3679","GTEX-144GL-1426-SM-79OMA","Liver"
"3680","GTEX-144GL-1826-SM-79OMB","Adrenal Gland"
"3681","GTEX-144GL-2026-SM-5LU3O","Breast"
"3682","GTEX-144GL-2226-SM-79OMD","Esophagus"
"3683","GTEX-144GL-2526-SM-5TDDL","Colon"
"3684","GTEX-144GL-2926-SM-5O99F","Brain"
"3685","GTEX-144GL-3026-SM-5Q5CW","Brain"
"3686","GTEX-144GL-3126-SM-5TDDM","Pituitary"
"3687","GTEX-144GM-0126-SM-5Q5AX","Lung"
"3688","GTEX-144GM-0226-SM-5Q5CB","Thyroid"
"3689","GTEX-144GM-0426-SM-5Q5C8","Testis"
"3690","GTEX-144GM-0526-SM-79OJO","Skin"
"3691","GTEX-144GM-0626-SM-79OKY","Adipose Tissue"
"3692","GTEX-144GM-0726-SM-79OJQ","Pancreas"
"3693","GTEX-144GM-0826-SM-5O98R","Prostate"
"3694","GTEX-144GM-0926-SM-5O994","Breast"
"3695","GTEX-144GM-1026-SM-79OKU","Small Intestine"
"3696","GTEX-144GM-1126-SM-79OJK","Colon"
"3697","GTEX-144GM-1226-SM-5LU52","Colon"
"3698","GTEX-144GM-1326-SM-5LU5E","Liver"
"3699","GTEX-144GM-1426-SM-5LU31","Esophagus"
"3700","GTEX-144GM-1526-SM-79OJM","Esophagus"
"3701","GTEX-144GM-1626-SM-5O9AG","Esophagus"
"3702","GTEX-144GM-1726-SM-5O9AS","Stomach"
"3703","GTEX-144GM-1926-SM-5LUAN","Adipose Tissue"
"3704","GTEX-144GM-2026-SM-5LU3D","Muscle"
"3705","GTEX-144GM-2126-SM-5LU3P","Nerve"
"3706","GTEX-144GM-2226-SM-5O9B5","Blood Vessel"
"3707","GTEX-144GN-0326-SM-5O9AD","Blood Vessel"
"3708","GTEX-144GN-0426-SM-5O9AP","Lung"
"3709","GTEX-144GN-0626-SM-5O9B2","Esophagus"
"3710","GTEX-144GN-0726-SM-5O98O","Adipose Tissue"
"3711","GTEX-144GN-0826-SM-5LU5G","Pancreas"
"3712","GTEX-144GN-1126-SM-5LU33","Colon"
"3713","GTEX-144GN-1226-SM-5O991","Stomach"
"3714","GTEX-144GN-1626-SM-5Q5BU","Testis"
"3715","GTEX-144GN-2126-SM-5O99D","Spleen"
"3716","GTEX-144GN-2326-SM-5LU4F","Skin"
"3717","GTEX-144GN-2426-SM-5LU4R","Muscle"
"3718","GTEX-144GN-2526-SM-5LU54","Nerve"
"3719","GTEX-144GO-0011-R1a-SM-5PNWO","Brain"
"3720","GTEX-144GO-0011-R5a-SM-5PNUR","Brain"
"3721","GTEX-144GO-0011-R6b-SM-5S2V7","Brain"
"3722","GTEX-144GO-0011-R7b-SM-5S2TT","Brain"
"3723","GTEX-144GO-0126-SM-5LUAO","Thyroid"
"3724","GTEX-144GO-0226-SM-5LUB1","Lung"
"3725","GTEX-144GO-1326-SM-5Q5EL","Muscle"
"3726","GTEX-144GO-1626-SM-7EPG5","Adipose Tissue"
"3727","GTEX-144GO-2026-SM-5O99P","Skin"
"3728","GTEX-144GO-2726-SM-5O9A2","Esophagus"
"3729","GTEX-145LS-0011-R10a-SM-5PNUQ","Brain"
"3730","GTEX-145LS-0011-R1b-SM-5PNUP","Brain"
"3731","GTEX-145LS-0011-R2a-SM-5PNZI","Brain"
"3732","GTEX-145LS-0011-R3a-SM-5S2VJ","Brain"
"3733","GTEX-145LS-0011-R4b-SM-5S2UT","Brain"
"3734","GTEX-145LS-0011-R5a-SM-5SI65","Brain"
"3735","GTEX-145LS-0011-R6b-SM-5PNWL","Brain"
"3736","GTEX-145LS-0011-R7a-SM-5PNWM","Brain"
"3737","GTEX-145LS-0011-R8b-SM-5PNXA","Brain"
"3738","GTEX-145LS-0126-SM-5QGP1","Skin"
"3739","GTEX-145LS-0226-SM-5O9A5","Adipose Tissue"
"3740","GTEX-145LS-0426-SM-5LU8M","Blood Vessel"
"3741","GTEX-145LS-0526-SM-5LU8Y","Muscle"
"3742","GTEX-145LS-0626-SM-7EPG7","Skin"
"3743","GTEX-145LS-1226-SM-5Q5D9","Lung"
"3744","GTEX-145LS-1326-SM-5Q5EP","Heart"
"3745","GTEX-145LS-1826-SM-5LUAZ","Esophagus"
"3746","GTEX-145LS-2026-SM-5Q5D7","Esophagus"
"3747","GTEX-145LS-2326-SM-5TDCY","Ovary"
"3748","GTEX-145LS-2426-SM-5TDCZ","Uterus"
"3749","GTEX-145LS-2526-SM-5TDC9","Vagina"
"3750","GTEX-145LS-2726-SM-5Q5D8","Colon"
"3751","GTEX-145LS-2926-SM-5O99G","Colon"
"3752","GTEX-145LS-3026-SM-5O99S","Brain"
"3753","GTEX-145LS-3126-SM-5Q5BY","Brain"
"3754","GTEX-145LS-3226-SM-5TDCA","Pituitary"
"3755","GTEX-145LT-0126-SM-5S2QJ","Adrenal Gland"
"3756","GTEX-145LT-0226-SM-5S2QK","Thyroid"
"3757","GTEX-145LT-0326-SM-5LUAD","Lung"
"3758","GTEX-145LT-0426-SM-5LUAP","Testis"
"3759","GTEX-145LT-0526-SM-5LUB2","Skin"
"3760","GTEX-145LT-0626-SM-5O99E","Prostate"
"3761","GTEX-145LT-0726-SM-5S2VM","Breast"
"3762","GTEX-145LT-0826-SM-5S2QL","Colon"
"3763","GTEX-145LT-0926-SM-5LU9C","Colon"
"3764","GTEX-145LT-1026-SM-5LU9O","Small Intestine"
"3765","GTEX-145LT-1126-SM-5LUA1","Esophagus"
"3766","GTEX-145LT-1226-SM-5Q5BZ","Esophagus"
"3767","GTEX-145LT-1326-SM-5O9AQ","Esophagus"
"3768","GTEX-145LT-1426-SM-5O9B3","Stomach"
"3769","GTEX-145LT-1526-SM-5O98P","Adipose Tissue"
"3770","GTEX-145LT-1626-SM-5O992","Muscle"
"3771","GTEX-145LT-1726-SM-5QGP3","Skin"
"3772","GTEX-145LT-1826-SM-5QGP4","Adipose Tissue"
"3773","GTEX-145LT-1926-SM-5QGP5","Nerve"
"3774","GTEX-145LU-0011-R10a-SM-5PNWJ","Brain"
"3775","GTEX-145LU-0011-R11b-SM-5P9JX","Brain"
"3776","GTEX-145LU-0011-R1a-SM-5Q5CE","Brain"
"3777","GTEX-145LU-0011-R3a-SM-5P9K2","Brain"
"3778","GTEX-145LU-0011-R6a-SM-5S2V6","Brain"
"3779","GTEX-145LU-0011-R8b-SM-5PNZG","Brain"
"3780","GTEX-145LU-0011-R9b-SM-5SI66","Brain"
"3781","GTEX-145LU-0126-SM-5TDCB","Skin"
"3782","GTEX-145LU-0426-SM-5O9AH","Thyroid"
"3783","GTEX-145LU-0526-SM-5O9AT","Lung"
"3784","GTEX-145LU-0726-SM-5QGP2","Nerve"
"3785","GTEX-145LU-0826-SM-79OJJ","Blood Vessel"
"3786","GTEX-145LU-0926-SM-79OJL","Esophagus"
"3787","GTEX-145LU-1226-SM-5LU9B","Adipose Tissue"
"3788","GTEX-145LU-1326-SM-5LU9N","Liver"
"3789","GTEX-145LU-1926-SM-79OJN","Skin"
"3790","GTEX-145LU-2026-SM-5Q5E8","Muscle"
"3791","GTEX-145LU-2126-SM-5Q5E9","Prostate"
"3792","GTEX-145LU-2626-SM-5LU9Z","Brain"
"3793","GTEX-145LU-2826-SM-5TDD1","Pituitary"
"3794","GTEX-145LV-0226-SM-5S2QG","Heart"
"3795","GTEX-145LV-0326-SM-5Q5BW","Heart"
"3796","GTEX-145LV-1026-SM-5O9AE","Adipose Tissue"
"3797","GTEX-145LV-1226-SM-5S2QH","Prostate"
"3798","GTEX-145LV-1326-SM-5S2QI","Esophagus"
"3799","GTEX-145LV-1426-SM-5Q5BV","Esophagus"
"3800","GTEX-145LV-2126-SM-5LU8N","Skin"
"3801","GTEX-145LV-2326-SM-5LU8Z","Muscle"
"3802","GTEX-145LV-2526-SM-5S2VA","Nerve"
"3803","GTEX-145ME-0126-SM-5S2QM","Thyroid"
"3804","GTEX-145ME-0226-SM-5S2QN","Lung"
"3805","GTEX-145ME-0326-SM-5S2QO","Pancreas"
"3806","GTEX-145ME-0726-SM-5O9A3","Adipose Tissue"
"3807","GTEX-145ME-0826-SM-5O9AF","Colon"
"3808","GTEX-145ME-0926-SM-5O9AR","Small Intestine"
"3809","GTEX-145ME-1026-SM-5O9B4","Stomach"
"3810","GTEX-145ME-1126-SM-5SIAT","Colon"
"3811","GTEX-145ME-1226-SM-5SIB6","Ovary"
"3812","GTEX-145ME-1326-SM-5O98Q","Uterus"
"3813","GTEX-145ME-1426-SM-5RQJS","Vagina"
"3814","GTEX-145ME-1526-SM-5Q5F2","Breast"
"3815","GTEX-145ME-1626-SM-5RQI3","Salivary Gland"
"3816","GTEX-145ME-1726-SM-5Q5EU","Skin"
"3817","GTEX-145ME-1826-SM-5SI9G","Skin"
"3818","GTEX-145ME-1926-SM-5MR6T","Adipose Tissue"
"3819","GTEX-145ME-2026-SM-5SIA5","Muscle"
"3820","GTEX-145ME-2126-SM-5SIAH","Nerve"
"3821","GTEX-145ME-2226-SM-5S2VY","Blood Vessel"
"3822","GTEX-145ME-5004-SM-7MGXP","Esophagus"
"3823","GTEX-145ME-5007-SM-7DHN8","Esophagus"
"3824","GTEX-145MF-0426-SM-5LU9T","Blood Vessel"
"3825","GTEX-145MF-0526-SM-5LUA6","Adipose Tissue"
"3826","GTEX-145MF-0626-SM-5LUAI","Skin"
"3827","GTEX-145MF-0726-SM-5Q5BT","Lung"
"3828","GTEX-145MF-0826-SM-5QGQA","Liver"
"3829","GTEX-145MF-0926-SM-5Q5EA","Skin"
"3830","GTEX-145MF-1026-SM-5Q5EQ","Adipose Tissue"
"3831","GTEX-145MF-1426-SM-5O9B6","Esophagus"
"3832","GTEX-145MF-1526-SM-5LU95","Esophagus"
"3833","GTEX-145MF-1726-SM-5LU9H","Testis"
"3834","GTEX-145MF-2226-SM-7EPIR","Breast"
"3835","GTEX-145MF-2626-SM-5O98S","Pituitary"
"3836","GTEX-145MF-2726-SM-5O995","Brain"
"3837","GTEX-145MF-2826-SM-7EPGU","Brain"
"3838","GTEX-145MG-0011-R10a-SM-5PNWG","Brain"
"3839","GTEX-145MG-0011-R3b-SM-5SI67","Brain"
"3840","GTEX-145MG-0011-R5b-SM-5S2VU","Brain"
"3841","GTEX-145MG-0011-R7b-SM-5P9JY","Brain"
"3842","GTEX-145MG-0126-SM-5TDDA","Adipose Tissue"
"3843","GTEX-145MG-0226-SM-5TDDB","Muscle"
"3844","GTEX-145MG-0826-SM-5Q5C2","Thyroid"
"3845","GTEX-145MG-1526-SM-5Q5EM","Skin"
"3846","GTEX-145MG-3026-SM-5RQJA","Brain"
"3847","GTEX-145MG-3126-SM-5Q5D3","Brain"
"3848","GTEX-145MH-0011-R10b-SM-5PNUK","Brain"
"3849","GTEX-145MH-0011-R11a-SM-5P9HQ","Brain"
"3850","GTEX-145MH-0011-R1b-SM-5PNWY","Brain"
"3851","GTEX-145MH-0011-R3b-SM-5P9JQ","Brain"
"3852","GTEX-145MH-0011-R5a-SM-5P9JT","Brain"
"3853","GTEX-145MH-0011-R6a-SM-5PNZ7","Brain"
"3854","GTEX-145MH-0011-R7a-SM-5PNWH","Brain"
"3855","GTEX-145MH-0011-R8a-SM-5PNUL","Brain"
"3856","GTEX-145MH-0326-SM-5LU8H","Muscle"
"3857","GTEX-145MH-0426-SM-5LU8T","Thyroid"
"3858","GTEX-145MH-0626-SM-5NQAK","Lung"
"3859","GTEX-145MH-1026-SM-5Q5CI","Blood Vessel"
"3860","GTEX-145MH-1226-SM-5RQJT","Esophagus"
"3861","GTEX-145MH-1426-SM-5QGPO","Nerve"
"3862","GTEX-145MH-1526-SM-5LUAU","Blood Vessel"
"3863","GTEX-145MH-2326-SM-5O9AW","Testis"
"3864","GTEX-145MH-2726-SM-5QGQ6","Colon"
"3865","GTEX-145MH-2826-SM-5RQJF","Skin"
"3866","GTEX-145MH-2926-SM-5Q5D2","Brain"
"3867","GTEX-145MH-3026-SM-5Q5DZ","Brain"
"3868","GTEX-145MH-3126-SM-5S2QT","Pituitary"
"3869","GTEX-145MI-0011-R10a-SM-5PNZD","Brain"
"3870","GTEX-145MI-0011-R11a-SM-5P9JZ","Brain"
"3871","GTEX-145MI-0011-R4b-SM-5PNZH","Brain"
"3872","GTEX-145MI-0011-R6a-SM-5PNZA","Brain"
"3873","GTEX-145MI-0011-R8b-SM-5PNZ9","Brain"
"3874","GTEX-145MI-0326-SM-5Q5EV","Muscle"
"3875","GTEX-145MI-0426-SM-5O99V","Adipose Tissue"
"3876","GTEX-145MI-0526-SM-5O9A8","Skin"
"3877","GTEX-145MI-0626-SM-5SI8S","Skin"
"3878","GTEX-145MI-0826-SM-5SI95","Adipose Tissue"
"3879","GTEX-145MI-1126-SM-5O9AK","Thyroid"
"3880","GTEX-145MI-2626-SM-5QGQ8","Ovary"
"3881","GTEX-145MN-0126-SM-5RQHY","Spleen"
"3882","GTEX-145MN-0226-SM-5QGPY","Adrenal Gland"
"3883","GTEX-145MN-0326-SM-5QGQI","Kidney"
"3884","GTEX-145MN-0626-SM-5QGRH","Heart"
"3885","GTEX-145MN-0726-SM-5NQBH","Heart"
"3886","GTEX-145MN-0926-SM-5NQBT","Lung"
"3887","GTEX-145MN-1026-SM-5NQ9G","Esophagus"
"3888","GTEX-145MN-1126-SM-5RQJB","Esophagus"
"3889","GTEX-145MN-1326-SM-5NQ9S","Stomach"
"3890","GTEX-145MN-1426-SM-5SI9H","Pancreas"
"3891","GTEX-145MN-1526-SM-5SI9T","Skin"
"3892","GTEX-145MN-1726-SM-5SIA6","Colon"
"3893","GTEX-145MN-1926-SM-5SIAI","Breast"
"3894","GTEX-145MN-2226-SM-5SIAU","Skin"
"3895","GTEX-145MN-2326-SM-5SIB7","Blood Vessel"
"3896","GTEX-145MN-2426-SM-5NQA5","Muscle"
"3897","GTEX-145MN-2626-SM-5NQAH","Adipose Tissue"
"3898","GTEX-145MO-0126-SM-5S2QU","Testis"
"3899","GTEX-145MO-0326-SM-5Q5B3","Skin"
"3900","GTEX-145MO-0426-SM-5QGP6","Adipose Tissue"
"3901","GTEX-145MO-0526-SM-5Q5F7","Nerve"
"3902","GTEX-145MO-0626-SM-5NQAW","Blood Vessel"
"3903","GTEX-145MO-0726-SM-5NQB9","Muscle"
"3904","GTEX-145MO-0826-SM-5NQBL","Breast"
"3905","GTEX-145MO-1126-SM-5NQBX","Heart"
"3906","GTEX-145MO-1226-SM-5QGPC","Blood Vessel"
"3907","GTEX-145MO-1326-SM-5Q5EF","Lung"
"3908","GTEX-145MO-1426-SM-DTX9W","Esophagus"
"3909","GTEX-145MO-1526-SM-5QGQC","Esophagus"
"3910","GTEX-145MO-2126-SM-5Q5CZ","Pancreas"
"3911","GTEX-145MO-2226-SM-5Q5BN","Stomach"
"3912","GTEX-145MO-2326-SM-5NQ9K","Liver"
"3913","GTEX-145MO-2426-SM-5NQ9W","Colon"
"3914","GTEX-145MO-2626-SM-5QGPD","Colon"
"3915","GTEX-145MO-2826-SM-5LU96","Skin"
"3916","GTEX-145MO-3126-SM-5S2RT","Pituitary"
"3917","GTEX-146FH-0126-SM-5QGPP","Skin"
"3918","GTEX-146FH-0226-SM-5QGPQ","Adipose Tissue"
"3919","GTEX-146FH-0326-SM-5QGPT","Nerve"
"3920","GTEX-146FH-0426-SM-5QGPS","Blood Vessel"
"3921","GTEX-146FH-0526-SM-5QGQ3","Muscle"
"3922","GTEX-146FH-0826-SM-5SI8T","Breast"
"3923","GTEX-146FH-0926-SM-5SI96","Blood Vessel"
"3924","GTEX-146FH-1026-SM-5RQIF","Heart"
"3925","GTEX-146FH-1126-SM-5NQAT","Heart"
"3926","GTEX-146FH-1226-SM-5NQB6","Lung"
"3927","GTEX-146FH-1326-SM-5NQBI","Blood Vessel"
"3928","GTEX-146FH-1526-SM-5NQBU","Liver"
"3929","GTEX-146FH-1626-SM-5NQ9H","Esophagus"
"3930","GTEX-146FH-1726-SM-5QGQ2","Esophagus"
"3931","GTEX-146FH-1926-SM-5Q5B2","Esophagus"
"3932","GTEX-146FH-2026-SM-5SI9I","Adipose Tissue"
"3933","GTEX-146FH-2126-SM-5SI9U","Stomach"
"3934","GTEX-146FH-2426-SM-5Q5EW","Colon"
"3935","GTEX-146FH-2526-SM-5Q5BP","Ovary"
"3936","GTEX-146FH-2626-SM-5Q5E1","Vagina"
"3937","GTEX-146FQ-0126-SM-5NQA9","Skin"
"3938","GTEX-146FQ-0226-SM-5NQAL","Adipose Tissue"
"3939","GTEX-146FQ-0326-SM-5NQAX","Muscle"
"3940","GTEX-146FQ-0426-SM-5NQBA","Nerve"
"3941","GTEX-146FQ-0526-SM-5LU9I","Blood Vessel"
"3942","GTEX-146FQ-0626-SM-5LU9U","Spleen"
"3943","GTEX-146FQ-0726-SM-5LUA7","Thyroid"
"3944","GTEX-146FQ-0826-SM-5LUAJ","Blood Vessel"
"3945","GTEX-146FQ-0926-SM-5LUAV","Lung"
"3946","GTEX-146FQ-1026-SM-5LU8I","Esophagus"
"3947","GTEX-146FQ-1126-SM-5NQBM","Esophagus"
"3948","GTEX-146FQ-1526-SM-5Q5CX","Pancreas"
"3949","GTEX-146FQ-1726-SM-5QGPX","Prostate"
"3950","GTEX-146FQ-1926-SM-5NQBY","Colon"
"3951","GTEX-146FQ-2126-SM-5RQHU","Skin"
"3952","GTEX-146FR-0126-SM-5Q5F3","Pancreas"
"3953","GTEX-146FR-0226-SM-5Q5F6","Adipose Tissue"
"3954","GTEX-146FR-0326-SM-5SI8U","Thyroid"
"3955","GTEX-146FR-0426-SM-5SI97","Esophagus"
"3956","GTEX-146FR-0526-SM-5Q5EX","Esophagus"
"3957","GTEX-146FR-0626-SM-5RQJ1","Heart"
"3958","GTEX-146FR-0926-SM-5QGPE","Heart"
"3959","GTEX-146FR-1026-SM-5NQ9T","Blood Vessel"
"3960","GTEX-146FR-1226-SM-5SIA7","Salivary Gland"
"3961","GTEX-146FR-1326-SM-E9J48","Skin"
"3962","GTEX-146FR-1426-SM-5SIAV","Nerve"
"3963","GTEX-146FR-1526-SM-5SIB8","Adrenal Gland"
"3964","GTEX-146FR-1626-SM-5Q5DS","Blood Vessel"
"3965","GTEX-146FR-1726-SM-5Q5DT","Muscle"
"3966","GTEX-146FR-1826-SM-5QGPF","Adipose Tissue"
"3967","GTEX-146FR-1926-SM-5NQA6","Spleen"
"3968","GTEX-146FR-2026-SM-5NQAI","Stomach"
"3969","GTEX-146FR-2426-SM-5NQAU","Vagina"
"3970","GTEX-14753-0011-R10b-SM-5S2WE","Brain"
"3971","GTEX-14753-0011-R5a-SM-5S2VW","Brain"
"3972","GTEX-14753-0011-R6b-SM-5S2UD","Brain"
"3973","GTEX-14753-0011-R8b-SM-5S2U1","Brain"
"3974","GTEX-14753-0126-SM-5S2TX","Nerve"
"3975","GTEX-14753-0226-SM-5Q5CH","Blood Vessel"
"3976","GTEX-14753-0326-SM-5QGQB","Adipose Tissue"
"3977","GTEX-14753-0426-SM-5NQAM","Skin"
"3978","GTEX-14753-0526-SM-5QGPR","Muscle"
"3979","GTEX-14753-0626-SM-5Q5CY","Testis"
"3980","GTEX-14753-0726-SM-5QGQO","Skin"
"3981","GTEX-14753-0926-SM-5Q5BI","Thyroid"
"3982","GTEX-14753-1626-SM-5NQ9L","Liver"
"3983","GTEX-14753-1726-SM-5NQ9X","Adrenal Gland"
"3984","GTEX-14753-1926-SM-5NQAA","Esophagus"
"3985","GTEX-14753-2426-SM-5LU8U","Breast"
"3986","GTEX-14753-2526-SM-5LU97","Adipose Tissue"
"3987","GTEX-14753-2926-SM-5LU9J","Pituitary"
"3988","GTEX-1477Z-0005-SM-5PNWD","Blood"
"3989","GTEX-1477Z-0011-R10b-SM-5S2RF","Brain"
"3990","GTEX-1477Z-0011-R3b-SM-5PNX9","Brain"
"3991","GTEX-1477Z-0011-R5b-SM-5PNUO","Brain"
"3992","GTEX-1477Z-0011-R8b-SM-5S2RG","Brain"
"3993","GTEX-1477Z-0226-SM-5TDCI","Thyroid"
"3994","GTEX-1477Z-0326-SM-7IGLA","Skin"
"3995","GTEX-1477Z-0626-SM-5NQB7","Lung"
"3996","GTEX-1477Z-1126-SM-5P9GK","Heart"
"3997","GTEX-1477Z-1526-SM-5SI9V","Nerve"
"3998","GTEX-1477Z-1626-SM-5SIA8","Muscle"
"3999","GTEX-1477Z-2126-SM-5Q5CM","Colon"
"4000","GTEX-1477Z-2226-SM-5QGPG","Prostate"
"4001","GTEX-1477Z-2826-SM-5SI9J","Pituitary"
"4002","GTEX-147F3-0005-SM-5N9FI","Blood"
"4003","GTEX-147F3-0126-SM-5NQBJ","Spleen"
"4004","GTEX-147F3-0226-SM-5NQBV","Muscle"
"4005","GTEX-147F3-0426-SM-5SI8V","Blood Vessel"
"4006","GTEX-147F3-0526-SM-5SI98","Skin"
"4007","GTEX-147F3-0626-SM-5NQ9I","Adipose Tissue"
"4008","GTEX-147F3-0726-SM-5NQ9U","Lung"
"4009","GTEX-147F3-0826-SM-5NQA7","Esophagus"
"4010","GTEX-147F3-1526-SM-5SIAK","Vagina"
"4011","GTEX-147F3-1726-SM-5SIAW","Skin"
"4012","GTEX-147F3-1926-SM-5SIB9","Colon"
"4013","GTEX-147F4-0006-SM-5O99T","Blood"
"4014","GTEX-147F4-0011-R10b-SM-5S2WC","Brain"
"4015","GTEX-147F4-0011-R6b-SM-5S2UP","Brain"
"4016","GTEX-147F4-0011-R8b-SM-5S2UN","Brain"
"4017","GTEX-147F4-0126-SM-5QGPV","Blood Vessel"
"4018","GTEX-147F4-0226-SM-5QGPW","Skin"
"4019","GTEX-147F4-0326-SM-5TDCK","Muscle"
"4020","GTEX-147F4-0626-SM-5LUAK","Testis"
"4021","GTEX-147F4-0726-SM-5TDDD","Skin"
"4022","GTEX-147F4-0826-SM-5QGRB","Thyroid"
"4023","GTEX-147F4-0926-SM-5Q5EO","Lung"
"4024","GTEX-147F4-1026-SM-5Q5F9","Blood Vessel"
"4025","GTEX-147F4-1126-SM-5TDDE","Heart"
"4026","GTEX-147F4-1226-SM-5NQAY","Heart"
"4027","GTEX-147F4-1326-SM-5LU9V","Blood Vessel"
"4028","GTEX-147F4-1426-SM-5LUA8","Liver"
"4029","GTEX-147F4-2526-SM-5NQBB","Adrenal Gland"
"4030","GTEX-147F4-2626-SM-5Q5CS","Kidney"
"4031","GTEX-147F4-2826-SM-5NQBN","Breast"
"4032","GTEX-147F4-3026-SM-5Q5BJ","Brain"
"4033","GTEX-147F4-3126-SM-5TDDF","Pituitary"
"4034","GTEX-147GR-0005-SM-5NQAO","Blood"
"4035","GTEX-147GR-0011-R10b-SM-5S2UM","Brain"
"4036","GTEX-147GR-0011-R2b-SM-5S2RQ","Brain"
"4037","GTEX-147GR-0011-R4a-SM-5S2V2","Brain"
"4038","GTEX-147GR-0011-R6b-SM-5S2RO","Brain"
"4039","GTEX-147GR-0011-R7a-SM-5S2RP","Brain"
"4040","GTEX-147GR-0011-R9a-SM-5S2UY","Brain"
"4041","GTEX-147GR-0126-SM-62LER","Muscle"
"4042","GTEX-147GR-0426-SM-5S2OL","Adipose Tissue"
"4043","GTEX-147GR-0526-SM-5S2MY","Skin"
"4044","GTEX-147GR-0626-SM-5S2PK","Testis"
"4045","GTEX-147GR-0726-SM-5S2PL","Thyroid"
"4046","GTEX-147GR-1226-SM-5TDCL","Lung"
"4047","GTEX-147GR-1326-SM-7IGLB","Liver"
"4048","GTEX-147GR-2426-SM-5ZZWQ","Skin"
"4049","GTEX-147GR-2726-SM-664OO","Colon"
"4050","GTEX-147GR-2826-SM-5RQK8","Colon"
"4051","GTEX-147GR-2926-SM-5RQIN","Pituitary"
"4052","GTEX-147GR-3026-SM-5S2ML","Brain"
"4053","GTEX-147GR-3126-SM-5S2PM","Brain"
"4054","GTEX-147JS-0006-SM-5NQ7K","Blood"
"4055","GTEX-147JS-0126-SM-5S2TW","Testis"
"4056","GTEX-147JS-0226-SM-5S2U9","Skin"
"4057","GTEX-147JS-0426-SM-5TDD2","Adipose Tissue"
"4058","GTEX-147JS-0526-SM-5TDD3","Muscle"
"4059","GTEX-147JS-0626-SM-5TDD4","Nerve"
"4060","GTEX-147JS-0726-SM-5S2UL","Blood Vessel"
"4061","GTEX-147JS-1026-SM-5S2MP","Adipose Tissue"
"4062","GTEX-147JS-1126-SM-5RQIW","Liver"
"4063","GTEX-147JS-1226-SM-5RQK4","Lung"
"4064","GTEX-147JS-1326-SM-5SI6D","Heart"
"4065","GTEX-147JS-1526-SM-5ZZWF","Heart"
"4066","GTEX-147JS-1826-SM-5ZZWG","Esophagus"
"4067","GTEX-147JS-2526-SM-5S2Q8","Colon"
"4068","GTEX-147JS-2626-SM-5S2UX","Colon"
"4069","GTEX-147JS-2826-SM-5YYA7","Prostate"
"4070","GTEX-148VI-0006-SM-5O9A6","Blood"
"4071","GTEX-148VI-0226-SM-5RQKA","Lung"
"4072","GTEX-148VI-0326-SM-5RQK7","Heart"
"4073","GTEX-148VI-0526-SM-5TDDG","Thyroid"
"4074","GTEX-148VI-0626-SM-5TDDH","Liver"
"4075","GTEX-148VI-0826-SM-5TDDI","Pancreas"
"4076","GTEX-148VI-1026-SM-5TDDJ","Esophagus"
"4077","GTEX-148VI-1126-SM-5S2QW","Esophagus"
