Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut
CIB2	2	1	0	0	0	10	3	0	0	0	0	3	0	4	0	0	0	1	0	6	0	1	0	5	0	1	2	1	0	5
CIB3	0	5	7	10	0	0	0	7	0	3	0	1	0	1	0	2	0	3	0	6	0	0	0	3	0	1	2	3	0	2
CIB4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIC	73	222	579	484	320	572	1	1012	329	212	208	416	306	361	461	575	291	457	0	181	220	443	304	610	112	310	341	108	149	310
CIDEA	2028	82	2	41	19	13	20	138	0	60	0	26	29	23	0	25	53	129	18	207	12	0	18	0	27	70	4	141	9	0
CIDEB	2	138	203	129	54	152	2	107	7	11	10	46	15	14	5	18	8	46	0	24	18	40	0	47	0	18	26	11	8	30
CIDEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIDECP	79	15	56	27	31	32	0	18	11	2	2	4	3	0	12	0	7	6	0	4	1	1	0	2	0	1	6	1	2	5
CIITA	190	432	66	535	18	649	2	132	40	107	15	366	238	650	118	246	1	114	360	272	1	218	1	375	2	243	49	268	0	553
CILP	789	2	4	0	0	0	0	0	518	8	6	2	6	9	59	8	24	4	0	1	0	4	53	2	0	3	22	1	9	3
CILP2	2	1	0	0	0	1	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
CINP	32	133	101	210	23	183	0	92	145	218	68	408	139	249	142	237	120	421	0	218	334	345	1	446	12	250	64	135	41	238
CIR1	458	3470	1822	2215	905	3622	23	2212	864	1316	436	1923	1100	1633	298	2484	565	1922	0	1388	1090	1696	563	3296	81	1654	1194	694	270	2469
CIRBP	997	1461	813	1486	207	1912	1	1260	272	548	275	900	669	975	218	408	363	963	1181	657	96	870	513	1144	214	835	614	537	182	1116
CIRH1A	34	36	99	100	28	142	10	26	15	55	33	81	33	80	0	5	63	51	78	59	0	78	0	55	0	45	17	54	8	58
CISD1	78	23	20	40	11	126	0	75	3	45	2	71	15	81	0	2	1	108	0	47	1	51	81	10	76	60	4	45	9	56
CISD2	87	231	49	396	32	171	1	74	4	88	8	201	154	214	16	66	94	189	0	176	1	180	0	212	0	154	89	174	15	314
CISD3	1	7	8	52	12	81	2	13	0	7	3	42	22	47	2	3	9	16	0	26	0	7	0	9	0	15	10	34	0	43
CISH	682	196	21	188	19	247	6	375	21	127	1	207	148	284	3	45	0	91	11	87	3	137	0	159	4	131	27	153	0	320
CIT	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	31	0	0	1	0	0	0	0	0	2	0	0	0	3
CITED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITED2	3	12	2	31	0	0	2	11	0	1	0	0	0	0	0	0	0	2	7	0	13	0	0	0	0	1	0	0	0	0
CITED4	14	106	29	83	20	25	1	206	0	13	1	4	1	1	0	0	2	14	0	27	0	1	0	0	1	5	1	11	0	2
CIZ1	149	98	47	165	0	160	1	59	257	44	31	94	120	141	66	34	21	39	0	60	0	87	0	98	0	44	13	70	3	124
CKAP2	0	119	23	112	0	86	2	13	0	17	1	41	12	63	1	3	3	38	0	35	0	35	0	26	0	34	7	45	9	26
CKAP2L	0	0	2	3	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	2	0	0	0
CKAP4	287	548	2438	164	683	360	2	434	723	351	1135	1349	770	600	1814	1214	391	811	72	461	116	805	701	1486	161	618	1083	236	403	1323
CKAP5	590	139	11	146	3	253	0	24	36	51	0	121	71	147	0	17	0	43	307	66	1	64	0	95	0	60	14	87	0	158
CKB	234	209	11	119	0	36	4	82	63	91	4	70	27	97	30	60	17	139	65	114	32	67	1	63	1	68	28	134	0	64
CKLF	59	60	73	50	33	39	0	31	0	9	11	67	24	18	0	4	55	38	0	28	0	31	1	21	0	26	44	18	4	28
CKM	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CKMT1A	7	28	1	8	6	3	20	41	0	20	0	4	0	4	0	0	0	101	1	57	0	0	0	0	0	12	7	39	0	0
CKMT1B	0	29	0	17	0	1	1	54	0	20	0	1	0	1	0	0	0	74	0	38	0	0	0	0	0	13	0	31	0	0
CKMT2	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CKS1B	163	496	79	345	28	141	7	944	5	137	39	48	10	67	18	28	102	291	7	309	41	13	5	19	104	204	10	186	18	14
CKS2	1	54	49	31	63	43	0	24	150	51	37	64	68	70	19	37	91	48	57	59	227	56	0	48	42	29	59	65	12	35
CLASP1	294	204	350	322	51	298	2	153	248	207	533	615	450	471	746	569	792	567	796	322	426	490	286	917	0	336	381	257	297	874
CLASP2	76	40	33	69	5	77	1	22	8	6	4	26	15	19	0	1	0	11	35	7	0	4	0	10	0	12	9	13	7	17
CLASRP	220	409	539	705	257	841	12	282	125	140	440	409	456	405	740	299	185	392	276	237	920	474	1030	746	269	302	554	136	320	870
CLC	175	46375	778	7050	287	7843	18	6427	290	1362	98	2304	3693	2126	51	2190	627	1880	731	1520	130	1970	1037	3203	224	2637	468	1303	194	8179
CLCA1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCA2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	63	0	0	0	0	0	0	0	0	0	0	0
CLCA3P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCC1	163	89	6	55	0	104	4	34	56	21	4	29	17	40	4	3	46	20	0	47	2	8	0	10	4	22	1	29	0	23
CLCF1	2	40	10	35	3	19	3	3	0	31	4	25	15	39	12	27	0	11	2	26	0	29	404	27	0	11	6	43	0	2
CLCN1	1	38	0	31	3	5	1	50	2	5	0	2	0	0	0	0	6	34	0	12	0	0	1	0	0	3	1	9	0	0
CLCN2	2	40	3	48	0	6	9	74	0	4	0	12	0	25	0	8	11	22	0	25	0	2	0	9	5	9	7	12	0	9
CLCN3	1	9	33	7	23	34	2	5	0	14	0	16	7	15	2	0	0	15	0	11	0	10	0	6	33	17	6	9	0	8
CLCN4	3	10	102	105	1	103	5	29	17	28	37	162	225	85	6	15	0	157	0	73	0	120	1	355	1	62	27	4	9	38
CLCN5	135	3	2	8	0	12	0	2	21	3	3	9	0	11	2	6	0	7	0	4	0	2	0	22	0	6	0	4	0	3
CLCN6	3	114	15	230	5	88	26	224	0	75	39	51	29	104	62	39	0	213	0	149	2	23	0	41	162	76	46	117	4	90
CLCN7	127	91	138	180	11	143	0	62	98	57	58	185	97	194	228	65	236	191	0	110	0	193	1	242	0	101	235	84	40	224
CLCNKA	5	12	0	5	2	3	13	31	0	3	0	1	0	2	0	1	3	10	4	7	0	1	0	0	1	1	0	3	0	0
CLCNKB	1	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLDN1	1488	0	15	0	1	0	2	4	162	0	40	0	0	0	55	0	0	0	213	0	0	0	0	0	0	0	0	0	91	0
CLDN10	0	6	1	0	0	3	3	8	0	20	0	10	0	6	0	2	0	5	0	4	0	13	0	21	0	4	18	1	0	4
CLDN11	60	0	4	0	0	6	1	1	12	0	0	0	0	0	13	0	6	7	0	0	0	0	0	0	47	0	28	0	0	0
CLDN12	54	0	1	1	0	5	2	0	0	0	7	5	0	5	0	2	0	1	0	0	0	1	0	4	0	2	4	0	0	9
CLDN15	73	34	45	53	3	47	0	33	69	47	84	86	70	74	160	97	29	107	673	69	0	121	0	133	69	73	42	37	33	97
CLDN16	39	53	2	31	12	8	1	149	0	38	0	21	0	19	0	6	15	67	3	97	38	3	0	2	12	39	0	71	3	1
CLDN17	3	308	0	223	0	55	2	400	0	326	0	131	0	101	7	207	0	627	0	585	60	20	0	15	90	256	0	398	6	0
CLDN18	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN19	30	114	1	127	0	15	0	254	11	48	1	19	0	12	0	9	29	165	0	136	0	0	0	0	42	42	8	74	4	0
CLDN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN22	77	147	0	103	11	32	10	292	23	176	0	68	0	66	0	288	7	281	0	291	28	4	85	7	34	119	0	173	5	1
CLDN23	0	244	3	121	15	38	6	341	0	143	6	69	1	58	0	54	76	302	0	263	3	2	0	8	0	128	0	133	0	4
CLDN24	170	756	3	387	49	136	16	1741	136	2295	4	600	4	651	1	2139	124	2662	51	2928	375	41	3	18	0	1286	0	1903	0	4
CLDN25	46	445	5	333	0	58	2	808	0	472	4	121	0	121	1	369	98	726	401	811	3	11	106	15	1	324	0	491	0	1
CLDN3	17	262	1	161	1	21	8	503	0	381	0	89	0	108	5	419	34	566	0	790	168	9	0	7	309	264	0	434	0	0
CLDN4	18	216	0	209	0	29	14	345	28	151	0	66	0	74	0	19	50	434	0	431	0	2	1	1	371	217	0	261	0	0
CLDN5	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN7	2	96	0	78	1	18	4	156	6	29	0	2	5	3	0	2	3	53	0	41	24	0	0	2	0	10	0	21	0	0
CLDN8	40	334	0	165	0	52	18	677	0	309	0	184	0	150	0	124	214	753	0	650	315	15	2	8	150	372	0	420	0	0
CLDN9	74	316	49	253	0	74	9	528	95	304	6	108	10	185	31	279	176	567	642	599	459	54	97	88	266	178	68	264	5	76
CLDND1	1	139	389	233	32	332	0	156	7	19	5	63	19	49	2	5	23	75	0	57	10	30	25	31	0	66	79	35	25	42
CLDND2	13	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0
CLEC10A	0	0	0	10	0	34	0	1	15	0	0	2	10	8	0	3	6	0	0	6	0	0	45	2	0	2	3	1	0	6
CLEC11A	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLEC12A	282	1436	1412	997	160	1187	3	1179	0	31	64	595	59	90	2	13	220	785	120	321	0	26	8	66	69	517	310	250	13	78
CLEC12B	35	84	27	65	10	45	0	34	0	1	3	16	6	2	0	0	6	94	0	8	0	0	0	1	0	27	10	11	0	4
CLEC14A	1	289	1	257	0	39	28	769	20	383	0	137	2	157	0	572	134	715	158	795	1	10	0	3	0	198	10	461	1	1
CLEC16A	113	137	162	375	22	283	7	97	192	209	188	380	202	360	361	329	195	361	0	188	1	407	589	593	82	276	209	213	39	397
CLEC17A	0	0	0	4	0	4	1	1	0	1	0	7	8	18	0	2	0	0	0	1	0	1	0	3	0	1	0	2	0	3
CLEC18A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	0	0	1
CLEC18B	0	9	16	11	5	6	0	8	3	7	8	6	5	4	7	4	30	17	0	3	0	17	0	14	0	4	12	2	0	3
CLEC18C	1	1	42	28	56	48	0	22	20	47	83	36	35	26	0	1	192	75	143	20	0	52	19	141	9	3	51	6	22	21
CLEC1A	0	32	33	70	1	85	1	30	46	49	27	73	4	28	10	15	9	48	0	38	0	47	0	53	61	38	36	6	0	21
CLEC1B	1	0	0	126	0	20	0	2	0	1	0	36	8	36	0	4	0	8	0	31	1	2	0	6	0	5	0	5	0	1
CLEC2A	0	5	7	7	0	2	1	3	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	5	0	0	0	0
CLEC2B	522	4083	1541	3192	943	4525	19	5158	580	743	644	1477	1447	1387	381	2271	683	1307	88	1075	1151	1320	1311	2605	997	1820	796	673	400	2648
CLEC2D	25	349	284	537	99	582	0	167	21	416	43	666	330	945	59	182	80	559	0	285	31	559	4	765	129	421	136	531	57	712
CLEC2L	0	0	1	3	1	0	1	1	4	0	0	1	6	3	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0
CLEC3A	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC3B	66	0	9	0	0	0	0	0	38	2	3	0	0	0	37	0	62	0	54	0	23	0	172	0	0	0	8	1	14	0
CLEC4A	141	1761	1190	1084	657	2975	6	984	349	1451	299	1986	508	1192	260	635	149	2151	190	1289	1	1501	199	2239	381	2071	855	543	155	943
CLEC4C	0	0	1	0	0	36	2	0	0	0	0	4	17	4	0	0	0	7	0	19	0	0	0	2	0	1	9	0	0	5
CLEC4D	368	252	3152	242	187	410	3	441	191	105	311	865	299	368	287	100	940	806	356	351	471	358	187	488	128	370	958	184	514	991
CLEC4E	3223	6266	37114	3544	21655	5039	15	3947	6170	658	2904	1782	4131	1048	14611	1532	10136	1650	3772	1097	19343	1231	4678	2190	11436	1133	18217	615	6950	2008
CLEC4F	1	2	0	2	0	1	1	5	0	0	0	0	0	2	0	0	0	0	0	12	0	2	0	1	0	1	0	0	0	11
CLEC4G	2	2	0	5	3	0	6	5	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4GP1	0	5	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4M	12	109	0	60	1	15	6	166	0	77	0	6	0	11	0	24	0	125	0	103	9	1	0	0	7	19	0	49	0	0
CLEC5A	50	2	44	2	29	9	28	6	0	1	24	18	6	7	14	3	0	4	1	1	1	6	0	1	14	1	2	0	1	6
CLEC6A	0	1	31	29	0	42	0	0	0	2	0	66	4	51	0	14	0	9	0	11	0	8	0	18	0	17	4	3	12	13
CLEC7A	648	799	2177	1652	1241	2496	2	1305	766	647	760	917	681	852	821	833	576	925	0	694	1326	997	310	1488	395	776	1552	294	484	759
CLEC9A	96	325	49	119	0	181	2	264	81	369	56	249	102	266	0	515	0	548	0	409	2	353	464	820	1	356	132	165	0	71
CLECL1	0	3	0	14	0	41	1	0	0	4	0	5	7	11	0	2	0	0	0	9	85	0	0	7	0	2	0	1	0	2
CLGN	1	2	0	4	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0
CLHC1	0	6	0	0	0	3	0	2	0	2	0	6	0	3	0	1	0	0	0	0	0	2	0	2	0	0	4	0	0	0
CLIC1	3955	10927	23689	10332	13298	14917	62	12913	8292	1989	5927	3279	9720	3122	6645	3973	4434	2781	3679	2054	2808	2516	4341	5727	2231	3358	8062	1762	3641	11372
CLIC2	0	18	9	47	0	32	1	8	50	25	0	47	1	44	10	22	50	32	0	54	0	36	0	59	0	25	12	7	0	20
CLIC3	16	18	5	75	0	71	1	50	0	19	2	159	132	87	19	19	0	21	178	98	0	7	0	31	0	20	9	69	9	76
CLIC4	304	88	48	143	23	222	0	51	265	18	1	77	63	119	24	2	27	28	0	58	0	72	0	48	19	35	24	53	19	47
CLIC5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CLIC6	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLINT1	31	1455	196	445	179	417	1	157	22	108	16	291	104	274	40	238	63	155	54	192	1	179	22	260	20	138	53	189	22	301
CLIP1	152	513	533	469	36	756	0	295	52	84	64	212	46	132	30	19	129	189	0	89	31	133	0	142	19	160	103	59	29	114
CLIP2	0	2	1	5	0	3	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLIP3	34	8	1	5	0	19	0	5	10	1	0	7	0	0	2	0	55	2	0	4	0	0	0	2	0	8	16	2	5	1
CLIP4	57	10	7	108	0	119	0	8	29	18	0	55	15	63	0	0	11	14	0	18	1	7	44	19	14	26	4	37	12	29
CLK1	1456	2250	2997	2904	286	2092	10	1288	1113	659	543	948	961	737	670	379	958	902	389	596	943	804	532	1206	909	912	779	406	418	616
CLK2	6	438	104	378	27	683	0	217	22	135	10	221	73	189	16	111	67	191	0	114	56	243	1	310	0	161	33	126	6	223
CLK2P	62	265	8	154	3	32	9	580	0	163	1	42	0	40	1	137	40	249	0	250	27	1	18	2	0	105	0	131	0	1
CLK3	557	731	915	648	251	982	3	503	847	555	409	1102	497	809	380	1155	243	950	599	703	145	1017	1	1601	0	808	510	439	156	1277
CLK4	49	288	127	135	76	214	1	204	44	115	33	255	43	87	8	110	0	122	0	100	15	206	0	179	19	123	21	42	12	111
CLLU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLLU1OS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CLMN	0	0	7	10	0	39	0	2	0	1	0	27	4	23	0	0	0	2	0	9	0	3	0	6	0	7	2	2	0	9
CLMP	182	0	0	1	69	0	1	1	36	0	0	0	0	0	5	0	74	0	0	0	0	0	0	0	0	0	6	0	0	0
CLN3	165	566	396	531	115	510	20	513	3	395	306	514	223	489	219	630	108	629	82	385	389	409	161	660	391	453	230	410	65	569
CLN5	0	90	45	90	9	132	0	29	51	46	5	70	21	65	10	30	0	88	59	73	0	76	1	102	0	43	14	40	1	82
CLN6	1	218	187	282	60	252	0	69	421	384	15	279	162	379	163	595	10	462	0	583	0	203	0	945	0	178	125	92	33	175
CLN8	98	14	43	45	0	64	0	16	0	12	15	42	14	59	5	6	0	33	0	38	0	37	0	55	0	17	15	23	24	58
CLNK	0	1	0	0	0	3	0	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0
CLNS1A	195	358	10	275	4	177	13	487	4	95	1	72	6	87	1	18	13	285	0	220	23	11	13	11	29	131	3	143	0	21
CLOCK	204	19	0	43	0	53	0	1	0	14	0	27	10	30	4	8	0	10	0	14	0	4	0	18	0	7	0	17	0	21
CLP1	0	127	30	114	0	208	2	183	0	40	4	79	45	60	4	4	0	161	0	67	0	114	0	87	0	105	17	53	0	59
CLPB	1	1	1	1	0	3	0	2	0	0	0	3	0	8	0	1	0	1	0	1	0	0	0	3	0	0	3	1	0	1
CLPP	19	27	4	26	8	55	0	45	25	25	6	47	10	23	21	116	26	30	76	19	0	20	39	85	0	14	5	8	3	39
CLPS	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPSL1	1	2	0	7	0	1	1	17	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0
CLPSL2	4	1	0	0	2	0	14	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1	286	497	730	669	154	1031	5	577	71	505	185	1079	1268	1029	437	1005	508	1185	374	856	1040	1177	1479	1996	0	901	385	518	252	1680
CLPTM1L	136	269	207	324	68	327	0	117	0	108	50	234	195	273	152	232	119	166	0	147	0	267	115	476	24	132	59	152	49	368
CLPX	225	477	95	346	153	664	9	270	40	153	36	493	122	268	4	55	109	344	155	228	1	333	66	196	0	306	54	163	2	221
CLRN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CLRN2	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLRN3	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	4	0	0
CLSPN	0	19	31	18	0	39	0	19	0	10	7	7	0	12	3	7	0	21	0	18	0	21	0	14	0	17	2	4	0	4
CLSTN1	210	198	36	283	1	378	4	59	320	125	26	282	590	501	289	173	39	76	1037	176	0	238	967	403	33	166	61	302	0	771
CLSTN2	10	98	0	112	0	15	7	144	0	75	0	16	3	18	43	9	2	208	0	142	0	1	1	0	21	49	0	79	0	0
CLSTN3	1	78	435	426	13	325	1	124	377	170	202	202	211	198	263	145	842	283	0	115	0	210	910	432	719	159	137	105	207	473
CLTA	0	9	3	3	0	7	6	4	28	1	0	5	0	5	0	4	0	4	0	7	0	6	0	10	0	6	0	10	0	8
CLTB	329	755	628	555	319	755	0	564	426	280	324	554	737	447	392	563	298	643	484	513	0	561	3	1130	455	677	572	291	90	1042
CLTC	512	2526	1963	1651	453	3920	10	1812	1570	1813	594	2927	1012	2311	544	1791	534	2390	642	1789	386	2181	33	3252	109	1958	800	1355	388	2409
CLTCL1	0	234	109	25	0	58	0	26	0	167	28	206	48	122	83	308	0	266	0	65	0	328	2	139	0	64	26	41	54	96
CLU	1227	4	60	1061	73	185	2	14	2147	15	71	284	483	360	991	81	566	45	699	223	1	8	1082	170	266	43	175	101	105	186
CLUAP1	1	13	9	44	0	32	0	4	0	15	11	43	14	35	0	9	0	1	0	23	0	12	505	32	42	11	3	22	0	36
CLUL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLVS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLVS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLYBL	0	3	0	17	0	33	0	4	0	15	0	24	0	52	0	17	0	2	0	11	0	4	0	21	0	10	0	30	0	9
CMA1	40	0	4	8	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	4	0	0
CMAHP	117	122	12	65	1	37	1	23	0	60	5	100	62	134	19	24	0	27	0	56	2	87	0	121	0	90	26	96	0	67
CMAS	0	108	13	152	1	134	0	15	0	37	4	157	112	246	1	5	0	69	0	120	0	84	1	34	42	113	14	200	4	123
CMBL	69	0	3	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
CMC1	0	13	12	48	6	103	0	16	10	105	0	139	27	128	0	6	0	42	0	111	0	37	0	25	0	40	5	191	5	43
CMC2	1	79	15	61	9	78	2	25	0	51	12	73	20	75	0	53	49	38	0	74	0	46	0	62	80	42	25	64	29	85
CMC4	15	33	10	24	0	28	0	12	0	9	0	11	9	16	5	2	0	8	0	20	0	6	0	14	0	7	4	17	0	20
CMIP	230	1023	2655	1498	302	1463	1	1082	552	333	313	897	345	560	245	192	465	749	661	472	164	831	26	698	310	599	830	262	134	595
CMKLR1	0	0	0	0	0	1	1	0	0	0	0	3	18	7	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
CMPK1	120	182	76	389	2	232	1	29	267	209	15	481	241	511	23	158	19	238	233	257	1	291	171	407	42	239	132	259	14	296
CMPK2	0	101	118	199	237	272	0	279	0	8	0	8	3	8	1	3	0	8	0	8	0	16	0	5	8	23	42	42	26	68
CMSS1	82	0	1	13	2	29	2	2	0	25	0	11	10	28	5	6	35	2	0	19	0	3	0	12	0	11	1	10	0	9
CMTM1	0	4	22	4	12	1	0	2	0	3	1	10	2	1	4	4	0	1	0	3	0	3	0	10	0	2	5	0	0	4
CMTM2	1	34	26	10	21	19	1	9	0	24	3	54	4	2	5	7	2	39	0	10	0	16	0	38	21	25	8	5	2	10
CMTM3	575	422	566	457	33	356	0	279	347	139	48	528	262	340	48	342	128	313	79	170	1	359	38	599	0	270	61	131	34	341
CMTM4	7	1	0	2	0	1	0	5	0	0	0	1	0	1	1	0	0	3	0	2	0	2	0	4	0	1	0	0	0	0
CMTM5	8	47	0	212	22	45	1	75	0	33	0	78	22	104	0	11	0	132	12	106	0	3	0	13	0	31	0	64	0	7
CMTM6	364	800	2040	1398	64	1181	12	1624	272	540	384	1074	778	861	601	1227	581	860	487	650	165	758	565	1677	101	852	1058	456	319	907
CMTM7	6	346	392	220	344	578	7	246	18	129	147	506	568	306	86	233	111	379	64	288	2	378	3	713	38	302	386	191	75	610
CMTM8	112	28	7	10	0	10	4	15	0	5	5	31	4	20	0	31	7	14	1	14	0	25	0	35	0	9	15	19	23	22
CMYA5	1	1	5	0	3	2	13	1	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	2	0	0	0	2	0	3
CN5H6.4	93	263	27	254	24	62	4	539	0	252	0	148	19	120	7	283	45	632	0	607	632	29	83	34	0	266	6	331	3	16
CNBD1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNBP	1118	4438	2487	4041	1243	3838	6	3292	246	682	420	1509	1596	1264	406	1235	730	1446	481	997	2	1219	554	2373	294	1695	1245	713	344	2748
CNDP1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNDP2	0	76	41	158	45	245	0	47	0	5	0	54	14	47	1	0	2	19	0	13	0	10	9	9	22	19	10	41	7	15
CNEP1R1	94	514	446	619	27	765	24	847	105	331	17	435	226	286	14	368	108	516	0	353	58	398	0	622	112	404	148	176	25	240
CNFN	3	0	0	0	0	0	0	3	0	0	0	0	179	1	0	0	20	0	0	0	167	0	0	0	169	0	0	0	0	0
CNGA1	6	3	0	6	1	3	1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNGA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CNGA3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CNGA4	0	3	4	3	0	13	0	6	0	3	0	8	0	4	0	3	0	30	0	2	0	7	0	8	4	3	3	4	0	3
CNGB1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNGB3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNIH	407	129	174	138	85	336	0	101	45	78	10	234	60	131	2	24	14	141	1	98	2	77	1	116	0	97	14	68	15	99
CNIH2	101	117	17	131	0	52	6	124	0	95	27	35	0	21	58	73	71	97	0	60	0	59	0	61	9	43	45	39	4	45
CNIH3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
CNIH4	201	354	292	243	156	463	1	527	74	273	130	780	200	452	68	666	142	478	63	254	3	366	253	692	109	371	99	282	107	850
CNKSR1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
