"term","estimate","std.error","statistic","p.value","log2fc","colind","labtext","patient","t6820.ind","direction","patnum","protval","nudgeval","patval","sizeval","pointlab"
"s__Propionibacterium-acnes",70.2220670791489,102.31452990616,0.686335236486498,0.492501733816555,1.0591817026636,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"b",NA
"s__Proteus-hauseri",13704.967462924,2933571.55545644,0.00467176859464455,0.996272481525805,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Providencia-alcalifaciens-rettgeri-rustigianii",-9074.66823512346,2114526.35133623,-0.00429158436800229,0.996575821602304,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Providencia-alcalifaciens-rustigianii",24236.746163011,5187916.66931852,0.00467176859380717,0.996272481526473,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Providencia-rettgeri-vermicola",-5947.79173879433,1385919.79762579,-0.00429158436800129,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pseudomonas-aeruginosa",-1888.33549229757,340690.536056391,-0.00554267081837874,0.99557761117193,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pseudomonas-azotoformans-fluorescens-synxantha",-2235.0543613252,424462.358034436,-0.00526561264861059,0.995798668379342,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pseudomonas-benzenivorans-putida",279.575694000643,410.438862128516,0.681162823010415,0.495768469056951,1.30556365582158,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"s__Pseudomonas-brenneri-fluorescens-proteolytica",-4135.28619832354,963580.310609006,-0.0042915843680014,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pseudomonas-fluorescens-gessardii-libanensis",-6308.9625253601,1470077.71125288,-0.00429158436800139,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pseudomonas-japonica-putida",4880.97021117275,1044779.96123584,0.00467176859460358,0.996272481525838,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Pseudomonas-psychrophila",-2555.03282233509,416337.059604204,-0.00613693343745105,0.995103466295105,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pseudomonas-stutzeri",149.566941033168,188.355030854126,0.794069265657165,0.427155108738351,1.52656711547328,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"s__Pseudoxanthomonas-mexicana",-252.606705764041,294.01087622554,-0.859174697912409,0.39024414056752,-1.60399135547396,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"b",NA
"s__Psychrobacter-alimentarius-aquaticus-vallis",-347.61857555769,582.93507845906,-0.596324682461366,0.550958345128083,-4.8314210520353,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Pyrinomonas-methylaliphatogenes",1713.1882198151,366710.847320141,0.00467176859461557,0.996272481525828,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__Rahnella-aquatilis",-5490.54806163956,1279375.5384555,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Ralstonia-pickettii",-0.460838299293878,4.5325644234545,-0.101672752164138,0.919016430664567,-0.0480221980726375,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"s__Rhizobium-leguminosarum",-965.86530754327,225060.309834507,-0.00429158436800117,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Rhodopseudomonas-palustris",-1181.73615686638,275361.278151148,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Rhodopseudomonas-palustris-pseudopalustris",196.344434605339,214.761768751758,0.914242957424568,0.360589196506595,1.96405869536059,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"s__Roseomonas-gilardii-mucosa",214.652180201348,45946.6636356093,0.00467176859464045,0.996272481525808,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Skermanella-aerolata-sp46220",-1157.44060112511,269700.069222731,-0.00429158436800117,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Sphingobacterium-mizutaii",-2151.32892679794,501290.139566732,-0.00429158436800162,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__Sphingobacterium-multivorum",-6349.44206066521,1479510.01686168,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__Sphingobium-limneticum",1.35806151587456,36.4958670105344,0.0372113783591595,0.970316466278027,0.0267608767523056,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"s__Sphingobium-yanoikuyae",-18859.9366349632,3237623.54439824,-0.00582524075956724,0.995352156621208,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Sphingomonas-aerolata-faeni-ginsenosidivorax",-4296.63718628338,1001177.37829403,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Sphingomonas-aquatilis-hunanensis-melonis",2462.6852057601,527141.949749197,0.00467176859464855,0.996272481525802,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Sphingomonas-kyeonggiensis-leidyi",127.857845307598,76.3967362277239,1.67360350220301,0.0942085497732777,1.39284895202182,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"s__Sphingomonas-panni",166894.282021313,35724004.4410715,0.00467176859460458,0.996272481525837,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Sphingomonas-sp47871",-1066.58712615508,248529.921515161,-0.0042915843680014,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Sphingopyxis-macrogoltabida",-1861.86646891684,433841.283139884,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__Staphylococcus-capitis-caprae-epidermidis",165.431587869971,160.913433138223,1.02807817000503,0.303913058419304,5.55589516468209,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__Staphylococcus-cohnii-nepalensis",-1103.84781178495,257212.189515698,-0.00429158436800129,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__Staphylococcus-epidermidis-hominis",428.838095614957,91793.5225025839,0.00467176859459648,0.996272481525843,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__Staphylococcus-haemolyticus-petrasii",3479.53286483381,744799.917570074,0.00467176859549859,0.996272481525123,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__Staphylococcus-pasteuri",2008.18753922129,429855.952601514,0.00467176859379896,0.99627248152648,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__Staphylococcus-pasteuri-warneri",546.127147407003,116899.443186923,0.00467176859460092,0.99627248152584,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__Stenotrophomonas-maltophilia",71.4007082152446,54.2169326102732,1.31694481368936,0.18785712353963,1.51949085819833,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"s__Streptococcus-mitis-pneumoniae",-1787.51137113985,416515.491217551,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__Subdoligranulum-sp35590",-1943.37535623406,452834.009445106,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__Sutterella-sp48279",1744.78025195365,373473.175438652,0.004671768594637,0.996272481525811,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Tepidimonas-fonticaldi",-1875.26863088566,436964.176882715,-0.00429158436799958,0.996575821602307,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-c__Betaproteobacteria-sp50643",6419.01084710511,1374000.17107078,0.00467176859381517,0.996272481526467,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__unclassified-c__Chloroplast",-58803.0663542022,13701948.1179569,-0.00429158436800229,0.996575821602304,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-f__Bradyrhizobiaceae-sp43311",19.7934430431601,239.379094446095,0.0826865983805336,0.934100741321584,0.170820413126792,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"s__unclassified-f__Comamonadaceae-sp49228",218.774440764902,144.674401122606,1.51218487214956,0.13048683838688,2.30135530374665,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__unclassified-f__Corynebacteriaceae-sp5276",3695.59173131131,791047.684925384,0.00467176859465799,0.996272481525794,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-f__Erysipelotrichaceae-sp36786",2077.52563007202,444697.888593398,0.00467176859472694,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-f__Lachnospiraceae-sp32721",3123.84728323305,668664.815157835,0.0046717685937994,0.996272481526479,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-f__Lachnospiraceae-sp33565",20724.5849438907,4436132.59597105,0.00467176859472438,0.996272481525741,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-f__Lachnospiraceae-sp33582",-1381.10135121241,321816.194855683,-0.00429158436800162,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-f__Lachnospiraceae-sp33625",-5007.55152494808,1166830.49791239,-0.0042915843680014,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-f__Ruminococcaceae-sp34790",1331.83069388973,285080.621377769,0.00467176859462812,0.996272481525818,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-f__Ruminococcaceae-sp34871",-768.012010990411,178957.686750084,-0.00429158436800173,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-f__Ruminococcaceae-sp34878",-1985.96325685289,462757.594062516,-0.00429158436800195,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-f__Ruminococcaceae-sp35310",-1696.51777784398,395312.693953645,-0.0042915843680014,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-g__Acinetobacter",-2165.84466792369,504672.513040303,-0.00429158436800129,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-g__Afipia-Bradyrhizobium",7708.84948703823,1731807.0511696,0.00445133277511022,0.996448362032655,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__unclassified-g__Bradyrhizobium",-54.0483640445877,57.0150050301868,-0.947967364310003,0.343146068746766,-0.701082651110526,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"s__unclassified-g__Brucella-Ochrobactrum",22.7808493654587,80.5324240183076,0.282877979188605,0.777270375494586,0.506455939291033,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"s__unclassified-g__Enterobacter",-1090.63830245376,213440.079031741,-0.00510981024464279,0.99592297903912,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-g__Enterococcus",3861.06598794248,826467.730529557,0.00467176859460503,0.996272481525836,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-g__Methylobacterium",-3439.19930474497,801382.195906055,-0.00429158436800129,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-g__Pseudomonas",-44.2904335859718,63.7732549995988,-0.694498557212587,0.487369605311201,-3.373791641117,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-g__Streptococcus",-9259.22281654862,1844449.18875937,-0.0050200476505274,0.99599459830843,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"s__unclassified-o__Gaiellales-sp10853",5178.10421545573,1108381.99935962,0.00467176859462479,0.996272481525821,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"s__unclassified-o__Oligoflexales-sp54452",-1671.06111894832,389380.93152911,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-o__Rhizobiales-sp43729-sp43732",-8019.47425429522,1868651.19420432,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"s__unclassified-o__Sphingomonadales-sp47569-sp48026",2103.23758093925,450201.575333321,0.00467176859472794,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"s__Vagococcus-fluvialis",-1993.99723966156,494284.534433856,-0.00403410809109261,0.996781256167831,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"k__Bacteria",-0.96005384464324,2.78349421019142,-0.344909589223546,0.730162341328341,-0.0661670052898899,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"p__Acidobacteria",-290.27720838849,518.934594852289,-0.559371472374308,0.575908226526533,-1.33047878828633,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"b",NA
"p__Actinobacteria",26.3436962001337,43.1774693087472,0.610125989824903,0.541778351414109,0.502026725548112,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"p__Bacteroidetes",-0.75389407606426,11.2642361863256,-0.0669281133308854,0.946638932009029,-0.0898637270691374,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"p__Cyanobacteria",0.933302651676096,31.8747318282244,0.0292803295320489,0.976641014935252,0.0479248115488076,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"p__Deinococcus-Thermus",3157.27407233927,444541.527266095,0.00710231525895078,0.994333219950422,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"p__Firmicutes",4.69835403961327,14.1889161460548,0.331128466138665,0.74054745050327,0.279173983360342,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"p__Gemmatimonadetes",11761.9268275612,1692912.46912988,0.0069477465858625,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"p__Proteobacteria",-1.82671294970478,2.79970475556335,-0.652466280980121,0.5141004182876,-0.151132569833643,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"p__Verrucomicrobia",8.47534136178906,11.128670253066,0.761577184790253,0.446312396035756,1.09532029507405,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"b",NA
"c__Acidobacteria",-290.27720838849,518.934594852289,-0.559371472374308,0.575908226526533,-1.33047878828633,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"b",NA
"c__Actinobacteria",17.5602487642006,45.6412046269604,0.384745514666536,0.700425970264571,0.332363873064852,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"c__Alphaproteobacteria",-1.7175223288806,6.05152264919001,-0.283816557988177,0.776550964659732,-0.101901459019122,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"c__Bacilli",-37.3706152699202,55.4866627761044,-0.673506269798839,0.500625261318919,-0.597471999491013,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"c__Bacteroidia",-1.6178806145831,11.2228370285613,-0.144159681769031,0.885374377606463,-0.215367752365694,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"c__Betaproteobacteria",1.56875205337565,4.70111781725162,0.333697668162842,0.738607709359026,0.0790484552119398,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"c__Chloroplast",-306.430722650378,44105.0517380684,-0.00694774658626891,0.99445654486467,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"c__Clostridia",6.12954456103481,17.0337107581713,0.359847871556372,0.718960901555776,0.377315280367496,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"c__Coriobacteriia",-4575.74401956453,658593.971836747,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"c__Cyanobacteria",655.443305895856,100609.223485355,0.00651474371026492,0.994802023344673,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Cytophagia",1452.40650096102,209047.132478826,0.00694774658584773,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Deinococci",3157.27407233927,444541.527266095,0.00710231525895078,0.994333219950422,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Deltaproteobacteria",-1640.85959867873,236171.480681555,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"c__Erysipelotrichia",4549.23812721857,898962.883773443,0.00506054055104356,0.995962290058679,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Flavobacteriia",1277.63559420613,183892.083342055,0.00694774658585828,0.994456544864998,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Gammaproteobacteria",-21.8154542651718,15.8481183509728,-1.37653277077103,0.168656748750117,-1.16469526761247,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"c__Gemmatimonadetes",11761.9268275612,1692912.46912988,0.0069477465858625,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Negativicutes",2334.98361651384,336077.832987697,0.00694774658523615,0.994456544865494,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Rubrobacteria",2243.36215784141,322890.613541697,0.00694774658586261,0.994456544864994,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Sphingobacteriia",-6303.9439805117,928128.978748951,-0.00679209907766154,0.994580730678029,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"c__Thermoleophilia",2069.94435945627,297930.319403568,0.0069477465858464,0.994456544865007,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"c__Verrucomicrobiae",8.47534136178906,11.128670253066,0.761577184790253,0.446312396035756,1.09532029507405,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"b",NA
"o__Aeromonadales",3067.97039721375,441577.763318595,0.00694774658523787,0.994456544865493,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"o__Bacillales",-22.1559538913714,111.256625360722,-0.199142782009935,0.842151056176688,-0.27687603579352,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"o__Bacteroidales",-1.6178806145831,11.2228370285613,-0.144159681769031,0.885374377606463,-0.215367752365694,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"o__Burkholderiales",0.915036260822492,4.63820862577157,0.197282255855896,0.843606664250839,0.0479739611678389,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"o__Caulobacterales",15.8873596315861,42.3426262396305,0.375209594739695,0.707504595038167,0.28533000178718,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"o__Chromatiales",6773.20783029915,974878.364748573,0.00694774658584818,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"o__Clostridiales",6.12954456103481,17.0337107581713,0.359847871556372,0.718960901555776,0.377315280367496,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"o__Coriobacteriales",-4575.74401956453,658593.971836747,-0.00694774658626661,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"o__Corynebacteriales",9.70928150943903,88.066181169533,0.110249830076633,0.912211244418312,0.214626318992784,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"o__Cytophagales",1452.40650096102,209047.132478826,0.00694774658584773,0.994456544865006,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Deinococcales",3157.27407233927,444541.527266095,0.00710231525895078,0.994333219950422,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Enterobacteriales",-79.1687389268869,60.6281441443962,-1.30580838394679,0.191617728234902,-1.61488720935232,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"o__Erysipelotrichales",4549.23812721857,898962.883773443,0.00506054055104356,0.995962290058679,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Flavobacteriales",1277.63559420613,183892.083342055,0.00694774658585828,0.994456544864998,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Frankiales",2802.95360920582,403433.48369297,0.00694774658649551,0.99445654486449,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Gemmatimonadales",11761.9268275612,1692912.46912988,0.0069477465858625,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Kineosporiales",3971.19728812461,578827.60012116,0.00686076007310875,0.994525948406288,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Lactobacillales",-47.3545714506996,66.9602216710081,-0.707204520369782,0.479439389829653,-0.735702088724129,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"o__Micrococcales",-45.8639637066707,80.9567371313814,-0.566524360193024,0.571037377895507,-0.94561363192241,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"a",NA
"o__Neisseriales",3486.22207908329,501777.380046888,0.0069477465858615,0.994456544864995,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"c",NA
"o__Oligoflexales",-1640.85959867873,236171.480681555,-0.00694774658626628,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"o__Pinus wallichiana",-308.065642664575,44340.3683250965,-0.00694774658626844,0.994456544864671,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Not Proteobacteria",0.1,1.9,"c",NA
"o__Propionibacteriales",28.3017726295253,93.5243303269915,0.30261400996482,0.762184036399407,0.436447469517111,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"a",NA
"o__Pseudomonadales",-18.2822006979362,14.6900892244329,-1.2445261848736,0.213305968392491,-1.36713633052984,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"b",NA
"o__Rhizobiales",-3.59743609580239,8.04311549428607,-0.44726898405948,0.65468085842173,-0.173612317431938,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"a",NA
"o__Rhodobacterales",2.75476856129534,77.3778870969795,0.0356014963014268,0.971600115203583,0.0689503873860293,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"o__Rhodocyclales",166.167200605952,91.6129418646011,1.81379614303335,0.0697091165431293,1.75260655180209,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"b",NA
"o__Rhodospirillales",-1136.52187745942,163581.366036854,-0.00694774658626683,0.994456544864672,-Inf,NA,NA,"T6821",FALSE,"Lean",2,"Proteobacteria",0.15,1.85,"c",NA
"o__Rickettsiales",48.7513051543182,127.925601727189,0.381091075563468,0.703135669331676,0.604873154948969,NA,NA,"T6821",FALSE,"Obese",2,"Proteobacteria",0.15,2.15,"a",NA
"o__Rubrobacterales",2243.36215784141,322890.613541697,0.00694774658586261,0.994456544864994,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
"o__Selenomonadales",2334.98361651384,336077.832987697,0.00694774658523615,0.994456544865494,Inf,NA,NA,"T6821",FALSE,"Obese",2,"Not Proteobacteria",0.1,2.1,"c",NA
